team1,team2,city,date,toss_winner,first_batting,team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_player6,team2_player7,team2_player8,team2_player9,team2_player10,team2_player11,match_winner
Australia,Pakistan,Melbourne Cricket Ground,3 January 1990,1,1,Aamer Malik,Shoaib Mohammad,Mansoor Akhtar,Saeed Anwar,Imran Khan,Ijaz Ahmed,Wasim Akram,Abdul Qadir,Maqsood Rana,Nadeem Ghauri,Aaqib Javed,DC Boon,GR Marsh,DM Jones,AR Border,SR Waugh,SP ODonnell,IA Healy,PL Taylor,MG Hughes,CG Rackemann,TM Alderman,0
Australia,Sri Lanka,Melbourne Cricket Ground,4 January 1990,1,0,MA Taylor,GR Marsh,DM Jones,AR Border,SR Waugh,SP ODonnell,IA Healy,PL Taylor,MG Hughes,CG Rackemann,TM Alderman,RS Mahanama,MAR Samarasekera,HP Tillakaratne,PA de Silva,A Ranatunga,AP Gurusinha,RJ Ratnayake,ST Jayasuriya,JR Ratnayeke,EAR de Silva,GF Labrooy,0
Pakistan,Sri Lanka,Woolloongabba,10 February 1990,1,1,MAR Samarasekera,HP Tillakaratne,AP Gurusinha,RJ Ratnayake,PA de Silva,RS Mahanama,A Ranatunga,ST Jayasuriya,EAR de Silva,CPH Ramanayake,NLK Ratnayake,Rameez Raja,Saleem Yousuf,Ijaz Ahmed,Javed Miandad,Saleem Malik,Imran Khan,Wasim Akram,Tauseef Ahmed,Mushtaq Ahmed,Waqar Younis,Aaqib Javed,0
Australia,Pakistan,Woolloongabba,11 February 1990,1,0,MA Taylor,TM Moody,DM Jones,AR Border,SR Waugh,SP ODonnell,IA Healy,PL Taylor,MG Hughes,CG Rackemann,TM Alderman,Javed Miandad,Saleem Yousuf,Saeed Anwar,Rameez Raja,Ijaz Ahmed,Imran Khan,Saleem Malik,Wasim Akram,Mushtaq Ahmed,Tauseef Ahmed,Aaqib Javed,0
Australia,Pakistan,Sydney Cricket Ground,13 February 1990,1,0,MA Taylor,TM Moody,DM Jones,SR Waugh,SP ODonnell,AR Border,IA Healy,PL Taylor,CJ McDermott,CG Rackemann,TM Alderman,Saeed Anwar,Shoaib Mohammad,Ijaz Ahmed,Javed Miandad,Imran Khan,Saleem Malik,Wasim Akram,Saleem Yousuf,Waqar Younis,Aaqib Javed,Nadeem Ghauri,1
Pakistan,Sri Lanka,Hobart,15 February 1990,1,1,MAR Samarasekera,DSBP Kuruppu,AP Gurusinha,HP Tillakaratne,PA de Silva,A Ranatunga,RS Mahanama,EAR de Silva,RJ Ratnayake,GF Labrooy,KIW Wijegunawardene,Rameez Raja,Saeed Anwar,Ijaz Ahmed,Javed Miandad,Saleem Malik,Saleem Yousuf,Imran Khan,Wasim Akram,Waqar Younis,Aaqib Javed,Nadeem Ghauri,0
Pakistan,Sri Lanka,Adelaide Oval,17 February 1990,1,0,Rameez Raja,Saeed Anwar,Saleem Malik,Wasim Akram,Imran Khan,Javed Miandad,Ijaz Ahmed,Saleem Yousuf,Waqar Younis,Aaqib Javed,Nadeem Ghauri,DSBP Kuruppu,MAR Samarasekera,PA de Silva,A Ranatunga,AP Gurusinha,RS Mahanama,RJ Ratnayake,GF Labrooy,EAR de Silva,HP Tillakaratne,KIW Wijegunawardene,0
Australia,Sri Lanka,Adelaide Oval,18 February 1990,1,1,DSBP Kuruppu,MAR Samarasekera,AP Gurusinha,PA de Silva,A Ranatunga,HP Tillakaratne,ST Jayasuriya,EAR de Silva,RJ Ratnayake,MAWR Madurasinghe,KIW Wijegunawardene,MA Taylor,DM Jones,TM Moody,AR Border,SR Waugh,SP ODonnell,IA Healy,PL Taylor,GD Campbell,CG Rackemann,TM Alderman,0
Australia,Pakistan,Sydney Cricket Ground,20 February 1990,1,1,Rameez Raja,Saeed Anwar,Saleem Malik,Imran Khan,Ijaz Ahmed,Saleem Yousuf,Aamer Malik,Mushtaq Ahmed,Waqar Younis,Tauseef Ahmed,Aaqib Javed,MA Taylor,TM Moody,DM Jones,AR Border,SR Waugh,PL Taylor,SP ODonnell,IA Healy,GD Campbell,CG Rackemann,TM Alderman,1
Australia,Pakistan,Melbourne Cricket Ground,23 February 1990,1,1,Saeed Anwar,Rameez Raja,Saleem Malik,Javed Miandad,Imran Khan,Ijaz Ahmed,Wasim Akram,Saleem Yousuf,Tauseef Ahmed,Waqar Younis,Nadeem Ghauri,MA Taylor,TM Moody,DM Jones,SR Waugh,AR Border,SP ODonnell,IA Healy,PL Taylor,GD Campbell,CG Rackemann,TM Alderman,0
Australia,Pakistan,Sydney Cricket Ground,25 February 1990,1,0,MA Taylor,TM Moody,DM Jones,AR Border,ME Waugh,SP ODonnell,IA Healy,PL Taylor,GD Campbell,CG Rackemann,TM Alderman,Saeed Anwar,Rameez Raja,Wasim Akram,Saleem Malik,Javed Miandad,Imran Khan,Ijaz Ahmed,Saleem Yousuf,Mushtaq Ahmed,Waqar Younis,Nadeem Ghauri,0
New Zealand,India,Dunedin,1 March 1990,1,0,JG Wright,MD Crowe,AH Jones,MJ Greatbatch,KR Rutherford,IDS Smith,SA Thomson,GR Larsen,MC Snedden,DK Morrison,SJ Roberts,WV Raman,VB Chandrasekhar,DB Vengsarkar,M Azharuddin,SR Tendulkar,AK Sharma,N Kapil Dev,M Prabhakar,KS More,AS Wassan,SLV Raju,0
Australia,India,Christchurch,3 March 1990,1,0,MA Taylor,DC Boon,DM Jones,AR Border,SR Waugh,SP ODonnell,IA Healy,PL Taylor,GD Campbell,CG Rackemann,TM Alderman,VB Chandrasekhar,WV Raman,SV Manjrekar,DB Vengsarkar,M Azharuddin,AK Sharma,N Kapil Dev,M Prabhakar,KS More,AS Wassan,ND Hirwani,0
West Indies,England,Kingston,3 March 1990,1,1,GA Gooch,W Larkins,RA Smith,AJ Lamb,AJ Stewart,DJ Capel,RC Russell,PAJ DeFreitas,GC Small,EE Hemmings,ARC Fraser,DL Haynes,CA Best,RB Richardson,CL Hooper,IVA Richards,KLT Arthurton,PJL Dujon,EA Moseley,IR Bishop,MD Marshall,CA Walsh,0
