team1,team2,city,date,toss_winner,first_batting,team1_player1_bat_rank,team1_player1_bowl_rank,team1_player2_bat_rank,team1_player2_bowl_rank,team1_player3_bat_rank,team1_player3_bowl_rank,team1_player4_bat_rank,team1_player4_bowl_rank,team1_player5_bat_rank,team1_player5_bowl_rank,team1_player6_bat_rank,team1_player6_bowl_rank,team1_player7_bat_rank,team1_player7_bowl_rank,team1_player8_bat_rank,team1_player8_bowl_rank,team1_player9_bat_rank,team1_player9_bowl_rank,team1_player10_bat_rank,team1_player10_bowl_rank,team1_player11_bat_rank,team1_player11_bowl_rank,team2_player1_bat_rank,team2_player1_bowl_rank,team2_player2_bat_rank,team2_player2_bowl_rank,team2_player3_bat_rank,team2_player3_bowl_rank,team2_player4_bat_rank,team2_player4_bowl_rank,team2_player5_bat_rank,team2_player5_bowl_rank,team2_player6_bat_rank,team2_player6_bowl_rank,team2_player7_bat_rank,team2_player7_bowl_rank,team2_player8_bat_rank,team2_player8_bowl_rank,team2_player9_bat_rank,team2_player9_bowl_rank,team2_player10_bat_rank,team2_player10_bowl_rank,team2_player11_bat_rank,team2_player11_bowl_rank,match_winner
Australia,Pakistan,Melbourne Cricket Ground,3 January 1990,1,1,46,99,41,70,86,101,101,101,18,11,35,101,73,3,63,17,101,101,101,101,101,101,14,101,6,101,2,98,12,48,11,29,43,19,87,101,69,22,101,40,101,37,101,10,0
Australia,Sri Lanka,Melbourne Cricket Ground,4 January 1990,1,0,101,101,7,101,1,98,12,50,11,31,43,19,78,101,69,21,101,39,101,28,101,9,32,101,63,94,101,101,13,52,27,43,29,87,80,38,101,101,67,14,101,55,101,29,0
Pakistan,Sri Lanka,Woolloongabba,10 February 1990,1,1,66,93,101,101,28,86,75,38,13,52,34,101,27,44,101,101,101,53,101,57,101,95,101,101,101,101,31,101,8,82,101,101,18,11,74,5,87,31,101,62,101,60,101,101,0
Australia,Pakistan,Woolloongabba,11 February 1990,1,0,89,101,70,100,1,98,12,50,11,34,43,19,74,101,69,21,101,38,101,27,101,10,10,82,101,101,82,101,101,101,31,101,18,12,101,101,77,5,101,57,91,30,101,101,0
Australia,Pakistan,Sydney Cricket Ground,13 February 1990,1,0,82,101,72,101,1,99,11,36,43,18,12,50,76,101,68,20,85,21,101,27,101,9,71,101,42,70,32,101,9,82,18,11,101,101,70,2,101,101,101,59,101,101,101,94,1
Pakistan,Sri Lanka,Hobart,15 February 1990,1,1,66,92,50,101,24,87,101,101,13,55,26,43,32,101,101,51,77,39,101,29,101,49,101,101,67,101,33,101,9,83,101,101,101,101,18,11,71,2,101,52,101,101,101,74,0
Pakistan,Sri Lanka,Adelaide Oval,17 February 1990,1,0,101,101,46,101,101,101,68,2,18,11,8,83,33,101,101,101,101,46,101,101,101,74,50,101,67,92,14,55,20,43,27,86,30,101,77,33,101,29,101,48,101,101,101,51,0
Australia,Sri Lanka,Adelaide Oval,18 February 1990,1,1,50,101,68,92,28,80,13,55,22,44,101,101,101,101,101,46,72,29,101,101,101,52,78,101,1,99,73,101,12,50,11,37,42,17,76,101,69,19,101,74,101,26,101,9,0
Australia,Pakistan,Sydney Cricket Ground,20 February 1990,1,1,101,101,43,101,101,101,16,11,33,101,101,101,47,97,101,55,101,47,91,29,101,101,68,101,55,101,1,100,11,50,13,37,70,19,42,14,78,101,101,74,101,26,101,10,1
Australia,Pakistan,Melbourne Cricket Ground,23 February 1990,1,1,45,101,101,101,101,101,10,86,17,11,35,101,49,2,101,101,91,31,101,42,101,75,68,101,61,101,1,100,14,37,11,51,41,13,78,101,70,19,101,73,101,21,101,9,0
